time	Method	ALB	BUN	KR	CA	P
0	BASELINE	0.5061082	0.5113438	0.5052356	0.5200698	0.5061082
6	BASELINE	0.5330603	0.5412522	0.5301346	0.5435927	0.5336454
12	BASELINE	0.5343828	0.5410108	0.5302403	0.5385253	0.5343828
18	BASELINE	0.6007931	0.5974884	0.6166557	0.6298744	0.6014541
24	BASELINE	0.6459489	0.6559378	0.6614872	0.6781354	0.6437292
29	BASELINE	0.6245919	0.6332971	0.6235038	0.6191513	0.6245919
36	BASELINE	0.5647668	0.5257732	0.5630397	0.5423143	0.5647668
42	BASELINE	0.6257089	0.6041276	0.6124764	0.6181474	0.6257089
48	BASELINE	0.7775229	0.7320144	0.7981651	0.8027523	0.7798165
54	BASELINE	0.4920213	0.5000000	0.4654255	0.4920213	0.4973404
60	BASELINE	0.7142857	0.7190476	0.7619048	0.7238095	0.7142857
66	BASELINE	0.8135593	0.8135593	0.8389831	0.8135593	0.8135593
0	AVERAGE	0.5496247	0.6023622	0.5475357	0.5362802	0.5312761
6	AVERAGE	0.5636161	0.6019458	0.5978058	0.561942	0.5719866
12	AVERAGE	0.584252	0.6509607	0.6020128	0.5692913	0.5724409
18	AVERAGE	0.5707134	0.6050515	0.5735109	0.5481852	0.5556946
24	AVERAGE	0.5890985	0.622084	0.6034215	0.5775681	0.5545073
29	AVERAGE	0.6183673	0.7147735	0.6792625	0.6122449	0.622449
36	AVERAGE	0.5467532	0.5704268	0.5783537	0.5116883	0.5415584
42	AVERAGE	0.6337522	0.7117486	0.6867031	0.6140036	0.6319569
48	AVERAGE	0.6843034	0.6910861	0.6915984	0.6948854	0.696649
54	AVERAGE	0.435567	0.4511517	0.4583002	0.4510309	0.4484536
60	AVERAGE	0.7808219	0.6331738	0.6714514	0.7534247	0.7945205
66	AVERAGE	0.7877095	0.5638945	0.7119675	0.8044693	0.8212291
0	TD-COX	0.6024745	0.5475357	0.6329834	0.5590551	0.5672208
6	TD-COX	0.6053501	0.5978058	0.6201615	0.5912854	0.6178845
12	TD-COX	0.6495284	0.6020128	0.6276304	0.6085697	0.6264105
18	TD-COX	0.6027311	0.5735109	0.6658708	0.5992712	0.6168635
24	TD-COX	0.6236440	0.6034215	0.6249722	0.6160853	0.6196401
30	TD-COX	0.7169426	0.6792625	0.6419303	0.6872297	0.6983838
36	TD-COX	0.5611718	0.5783537	0.5606707	0.5696646	0.570122
42	TD-COX	0.7068027	0.6867031	0.6684882	0.6755464	0.6912568
48	TD-COX	0.6782683	0.6915984	0.6454918	0.6813525	0.6839139
54	TD-COX	0.4559174	0.4583002	0.4225576	0.4416203	0.4590945
60	TD-COX	0.6283892	0.6714514	0.7001595	0.6491228	0.6650718
66	TD-COX	0.5699797	0.7119675	0.6551724	0.6713996	0.6957404
0	U-JM	0.5447	0.5483	0.5466	0.556	0.557
6	U-JM	0.8366085	0.8088017	0.8033236	0.8105967	0.8220383
12	U-JM	0.8104718	0.764105	0.787499	0.7558927	0.7886522
18	U-JM	0.6399704	0.5823867	0.5694889	0.5772153	0.5585263
24	U-JM	0.7037391	0.7442634	0.7009773	0.7550729	0.737575
30	U-JM	0.8822925	0.8671506	0.8792054	0.8893247	0.880567
36	U-JM	0.6624517	0.6303081	0.6576358	0.6144039	0.6031007
42	U-JM	0.6978714	0.7896505	0.822777	0.7450151	0.7642403
48	U-JM	0.9200987	0.911905	0.9094421	0.9219818	0.9370845
54	U-JM	0.6638087	0.6551537	0.6705001	0.6369239	0.6595852
60	U-JM	0.8320957	0.8210606	0.8836492	0.8520409	0.8306234
66	U-JM	0.7318308	0.835332	0.8546853	0.7801155	0.7814093
0	M-JM	0.5382	0.5382	0.5382	0.5382	0.5382
6	M-JM	0.8379499	0.8379499	0.8379499	0.8379499	0.8379499
12	M-JM	0.8390185	0.8390185	0.8390185	0.8390185	0.8390185
18	M-JM	0.5795617	0.5795617	0.5795617	0.5795617	0.5795617
24	M-JM	0.6919436	0.6919436	0.6919436	0.6919436	0.6919436
30	M-JM	0.8641367	0.8641367	0.8641367	0.8641367	0.8641367
36	M-JM	0.6787058	0.6787058	0.6787058	0.6787058	0.6787058
42	M-JM	0.8129936	0.8129936	0.8129936	0.8129936	0.8129936
48	M-JM	0.903585	0.903585	0.903585	0.903585	0.903585
54	M-JM	0.7811913	0.7811913	0.7811913	0.7811913	0.7811913
60	M-JM	0.8838015	0.8838015	0.8838015	0.8838015	0.8838015
66	M-JM	0.8073615	0.8073615	0.8073615	0.8073615	0.8073615
